IMAGE,IMAGE URL,GUID,SCIENTIFIC_NAME,COUNTRY,STATE_PROV,SPEC_LOCALITY,VERBATIM_DATE,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS
MVZ_Egg_7152.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7152_egg.jpg,MVZ:Egg:7152,Eudyptes chrysocome chrysocome,United Kingdom,Falkland Islands,Saunders Island,#REF!,-57.783333,-26.45,3244
MVZ_Egg_7153.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7153_egg.jpg,MVZ:Egg:7153,Eudyptes chrysocome chrysocome,United Kingdom,Falkland Islands,Saunders Island,#REF!,-57.783333,-26.45,3244
MVZ_Egg_7156.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7156_egg.jpg,MVZ:Egg:7156,Eudyptes chrysolophus,United Kingdom,British Antarctic Territory,"Deception Island, South Shetland Islands",#REF!,-62.97,-60.65,9520
MVZ_Egg_7157.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7157_egg.jpg,MVZ:Egg:7157,Eudyptes chrysolophus,United Kingdom,Falkland Islands,Saunders Island,#REF!,-57.783333,-26.45,3244
MVZ_Egg_7155.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7155_egg.jpg,MVZ:Egg:7155,Eudyptes chrysolophus,France,French Antarctic Territory,Kerguelen Island,#REF!,-49.25,69.5,72215
MVZ_Egg_7158.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7158_egg.jpg,MVZ:Egg:7158,Eudyptula minor novaehollandiae,Australia,Tasmania,"Sandford, Tasmania",#REF!,-42.93333,147.5,1985
MVZ_Egg_7159.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7159_egg.jpg,MVZ:Egg:7159,Eudyptula minor novaehollandiae,Australia,Western Australia,Breaksea Point,#REF!,,,
MVZ_Egg_13100.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13100_egg.jpg,MVZ:Egg:13100,Pygoscelis adeliae,New Zealand,Ross Dependency,"Prior's Percipice, Cape Hallett, Ross Island",#REF!,-72.322,170.21633,2444
MVZ_Egg_13101.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13101_egg.jpg,MVZ:Egg:13101,Pygoscelis adeliae,New Zealand,Ross Dependency,"Prior's Precipice, Cape Hallett, Ross Island",#REF!,-72.322,170.21633,2444
MVZ_Egg_13103.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13103_egg.jpg,MVZ:Egg:13103,Pygoscelis adeliae,New Zealand,Ross Dependency,"Cape Hallett, Ross Island",#REF!,-72.322,170.21633,2444
MVZ_Egg_13102.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13102_egg.jpg,MVZ:Egg:13102,Pygoscelis adeliae,New Zealand,Ross Dependency,"Cape Hallett, Ross Island",#REF!,-72.322,170.21633,2444
MVZ_Egg_13104.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13104_egg.jpg,MVZ:Egg:13104,Pygoscelis adeliae,New Zealand,Ross Dependency,"Cape Hallett, Ross Island",#REF!,-72.322,170.21633,2444
MVZ_Egg_13578.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13578_egg.jpg,MVZ:Egg:13578,Pygoscelis adeliae,New Zealand,Ross Dependency,"Cape Crozier, Ross Island",#REF!,-77.52944,169.31833,5082
MVZ_Egg_7148.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7148_egg2.jpg,MVZ:Egg:7148,Pygoscelis antarcticus,United Kingdom,British Antarctic Territory,"Deception Island, South Shetland Islands",#REF!,-62.97,-60.65,9520
MVZ_Egg_7145.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7145_egg.jpg,MVZ:Egg:7145,Pygoscelis papua papua,United Kingdom,Falkland Islands,No specific locality recorded.,#REF!,-51.75,-59,142183
MVZ_Egg_7147.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7147_egg.jpg,MVZ:Egg:7147,Pygoscelis papua papua,United Kingdom,Falkland Islands,No specific locality recorded.,#REF!,-51.75,-59,142183
MVZ_Egg_7144.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7144_egg.jpg,MVZ:Egg:7144,Pygoscelis papua papua,United Kingdom,Falkland Islands,Stanley Island,#REF!,-51.7,-57.85,3683
MVZ_Egg_7146.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7146_egg.jpg,MVZ:Egg:7146,Pygoscelis papua papua,United Kingdom,Falkland Islands,Stanley Island,#REF!,-51.7,-57.85,3683
MVZ_Egg_7160.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7160_egg.jpg,MVZ:Egg:7160,Spheniscus magellanicus,United Kingdom,Falkland Islands,No specific locality recorded.,#REF!,-51.75,-59,142183
MVZ_Egg_7161.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7161_egg.jpg,MVZ:Egg:7161,Spheniscus magellanicus,Argentina,Santa Fe,"Depto. Magallanes, San Julian",#REF!,-49.3,-67.71,2000
MVZ_Egg_7142.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7142_egg.jpg,MVZ:Egg:7142,Eudromia elegans intermedia ?,Argentina,Tucuman,No specific locality recorded.,#REF!,,,
MVZ_Egg_4316.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4316_egg.jpg,MVZ:Egg:4316,Eudromia elegans ssp.,United States,California,Aviary in Hollister,#REF!,36.8453585,-121.4001805,1609
MVZ_Egg_7141.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7141_egg.jpg,MVZ:Egg:7141,Nothoprocta perdicaria ssp.,Argentina,Santa Fe,"Depto. Gner Aike, Esperanza",#REF!,-51.01,-70.81,2000
MVZ_Egg_7140.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7140_egg.jpg,MVZ:Egg:7140,Rhynchotus rufescens rufescens,Paraguay,,No specific locality recorded.,#REF!,-23.5,-58.5,501039
MVZ_Egg_7164.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7164_egg.jpg,MVZ:Egg:7164,Gavia stellata,Iceland,,West Myvatn,#REF!,65.58333,-17.03333,7261
MVZ_Egg_7162.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7162_egg.jpg,MVZ:Egg:7162,Gavia stellata,United States,Alaska,Barrow,#REF!,71.29055556,-156.7886111,2317
MVZ_Egg_4329.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4329_egg.jpg,MVZ:Egg:4329,Gavia stellata,United States,Alaska,"Goodnews Bay, Bering Sea",#REF!,59.08166667,-161.7138889,9883
MVZ_Egg_4330.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4330_egg.jpg,MVZ:Egg:4330,Gavia stellata,United States,Alaska,"Goodnews Bay, Bering Sea",#REF!,59.08166667,-161.7138889,9883
MVZ_Egg_4331.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4331_egg.jpg,MVZ:Egg:4331,Gavia stellata,United States,Alaska,"W side Kuskokwin Bay, near Kinakinagamute",#REF!,59.28166667,-162.2088889,32187
MVZ_Egg_2607.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2607_egg.jpg,MVZ:Egg:2607,Gavia stellata,United States,Alaska,small lake near Dutch Harbor,#REF!,53.9003905,-166.5300391,1735
MVZ_Egg_4326.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4326_egg.jpg,MVZ:Egg:4326,Gavia stellata,Iceland,,Syrarbakki,#REF!,,,
MVZ_Egg_7163.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7163_egg.jpg,MVZ:Egg:7163,Gavia stellata,Iceland,,Olfusa,#REF!,63.88333,-21.2,9780
MVZ_Egg_4327.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4327_egg.jpg,MVZ:Egg:4327,Gavia stellata,Iceland,,Myvatn Lake,#REF!,65.58333,-17,8261
MVZ_Egg_4328.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4328_egg.jpg,MVZ:Egg:4328,Gavia stellata,Iceland,,Olfusa,#REF!,63.88333,-21.2,9780
MVZ_Egg_7167.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7167_egg.jpg,MVZ:Egg:7167,Gavia arctica arctica,Finland,Lappi,Torneå,#REF!,65.85,24.18333,12008
MVZ_Egg_4324.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4324_egg.jpg,MVZ:Egg:4324,Gavia arctica arctica,Finland,Lappi,Leelia,#REF!,,,
MVZ_Egg_7168.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7168_egg.jpg,MVZ:Egg:7168,Gavia arctica arctica,Finland,Lappi,Fuari,#REF!,,,
MVZ_Egg_2605.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2605_egg.jpg,MVZ:Egg:2605,Gavia arctica arctica,Finland,Lappi,No specific locality recorded.,#REF!,,,
MVZ_Egg_7166.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7166_egg.jpg,MVZ:Egg:7166,Gavia arctica ssp.,Iceland,,Julionhaab,#REF!,,,
MVZ_Egg_4319.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4319_egg.jpg,MVZ:Egg:4319,Gavia immer,Canada,British Columbia,"Victoria, Glen Lake, Vancouver Island",#REF!,48.4333,-123.5167,3515
MVZ_Egg_4318.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4318_egg.jpg,MVZ:Egg:4318,Gavia immer,United States,Wisconsin,Devils Lake,#REF!,,,
MVZ_Egg_4317.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4317_egg.jpg,MVZ:Egg:4317,Gavia immer,United States,Michigan,Green Lake,#REF!,,,
MVZ_Egg_4550.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4550_egg.jpg,MVZ:Egg:4550,Gavia immer,Canada,Alberta,Rochester,#REF!,54.37222,-113.45194,336
MVZ_Egg_2602.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2602_egg.jpg,MVZ:Egg:2602,Gavia immer,Canada,British Columbia,"Victoria 20 mi S, Vancouver Island",#REF!,48.1439,-123.3667,31722
MVZ_Egg_2603.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2603_egg.jpg,MVZ:Egg:2603,Gavia immer,Canada,British Columbia,"Victoria, Green Lake, Vancouver Island",#REF!,49.2333,-124.0667,3021
MVZ_Egg_7169.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7169_egg.jpg,MVZ:Egg:7169,Gavia immer,Canada,Manitoba,Kalevala,#REF!,,,
MVZ_Egg_7170.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7170_egg.jpg,MVZ:Egg:7170,Gavia immer,United States,Michigan,Kalamazoo,#REF!,42.2917,-85.5872,7417
MVZ_Egg_13135.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13135_egg.jpg,MVZ:Egg:13135,Gavia immer,Canada,Alberta,Heatherdown,#REF!,53.52778,-114.00417,12086
MVZ_Egg_2606.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2606_egg.jpg,MVZ:Egg:2606,Gavia pacifica,Canada,Northwest Territories,Franklin Bay,#REF!,62.433,-85.42,18186
MVZ_Egg_4325.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4325_egg.jpg,MVZ:Egg:4325,Gavia pacifica,United States,Alaska,"Goodnews Bay, Bering Sea",#REF!,59.08166667,-161.7138889,9883
MVZ_Egg_7165.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7165_egg.jpg,MVZ:Egg:7165,Gavia pacifica,United States,Alaska,Opkowaruk River,#REF!,,,
MVZ_Egg_3164.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3164_egg.jpg,MVZ:Egg:3164,Gavia pacifica,United States,Alaska,near Point Barrow,#REF!,71.3875,-156.4811111,8206
MVZ_Egg_4323.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4323_egg.jpg,MVZ:Egg:4323,Gavia adamsii,United States,Alaska,80 mi E Barrow,#REF!,71.29055,-153.19403,99467
MVZ_Egg_3163.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3163_egg.jpg,MVZ:Egg:3163,Gavia adamsii,United States,Alaska,10 mi from Kotzebue,#REF!,66.89833333,-162.5966667,19311
MVZ_Egg_4321.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4321_egg.jpg,MVZ:Egg:4321,Gavia immer,Canada,British Columbia,"Victoria, Vancouver Island",#REF!,48.4333,-123.3667,9952
MVZ_Egg_4320.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4320_egg.jpg,MVZ:Egg:4320,Gavia immer,Canada,British Columbia,"Victoria, Elk Lake, Vancouver Island",#REF!,48.5333,-123.3833,2387
MVZ_Egg_4322.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4322_egg.jpg,MVZ:Egg:4322,Gavia immer,Canada,British Columbia,"Victoria, Elk Lake, Vancouver Island",#REF!,48.5333,-123.3833,2387
MVZ_Egg_7171.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7171_egg.jpg,MVZ:Egg:7171,Gavia immer,Iceland,,Lake Myvatn,#REF!,65.58333,-17,8261
MVZ_Egg_7175.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7175_egg.jpg,MVZ:Egg:7175,Podiceps auritus auritus,Hungary,,No specific locality recorded.,#REF!,,,
MVZ_Egg_4336.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4336_egg.jpg,MVZ:Egg:4336,Podiceps auritus cornutus,United States,Minnesota,No specific locality recorded.,#REF!,43.6667,-95.15,32200
MVZ_Egg_2096.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2096_egg.jpg,MVZ:Egg:2096,Podiceps auritus cornutus,United States,North Dakota,Sweet Water,#REF!,48.2158,-98.8708,187
MVZ_Egg_4337.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4337_egg.jpg,MVZ:Egg:4337,Podiceps auritus cornutus,Canada,Alberta,Bowden Lake,#REF!,51.93333,-114.02917,586
MVZ_Egg_4552.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4552_egg.jpg,MVZ:Egg:4552,Podiceps auritus cornutus,Canada,Alberta,Rochester,#REF!,54.37222,-113.45194,336
MVZ_Egg_13136.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13136_egg.jpg,MVZ:Egg:13136,Podiceps grisegena holbollii,Canada,Alberta,"Younger's Lake, 6 mi N of Belvidere",#REF!,,,
MVZ_Egg_4335.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4335_egg.jpg,MVZ:Egg:4335,Podiceps grisegena holbollii,Canada,Alberta,Belvedere,#REF!,,,
MVZ_Egg_4334.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4334_egg.jpg,MVZ:Egg:4334,Podiceps grisegena holbollii,Canada,Alberta,"Lac La Nonne, Belvedere",#REF!,53.59444,-113.43611,586
MVZ_Egg_4551.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4551_egg.jpg,MVZ:Egg:4551,Podiceps grisegena holbollii,Canada,Alberta,Belvedere,#REF!,,,
MVZ_Egg_4333.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4333_egg.jpg,MVZ:Egg:4333,Podiceps grisegena holbollii,United States,North Dakota,"Turltle Mts., Sculley Lake",#REF!,48.9427,-100.0665,37155
MVZ_Egg_4332.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4332_egg.jpg,MVZ:Egg:4332,Podiceps grisegena holbollii,United States,North Dakota,"Turtle Mts., Carpenter Lake",#REF!,48.9605,-99.9769,1749
MVZ_Egg_7180.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7180_egg.jpg,MVZ:Egg:7180,Podiceps grisegena holbollii,United States,North Dakota,"Turtle Mts., Carpenter Lake",#REF!,48.9605,-99.9769,1749
MVZ_Egg_3556.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3556_egg.jpg,MVZ:Egg:3556,Podiceps grisegena holbollii,United States,North Dakota,"Turtle Mts., Carpenter Lake",#REF!,48.9605,-99.9769,1749
MVZ_Egg_2608.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2608_egg.jpg,MVZ:Egg:2608,Podiceps grisegena holbollii,United States,North Dakota,"Turtle Mts., Lake Metigoshe",#REF!,48.9765,-100.3482,3244
MVZ_Egg_7181.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7181_egg.jpg,MVZ:Egg:7181,Podiceps grisegena ssp.,Soviet Union,,S Russia,#REF!,,,
MVZ_Egg_13023.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/13023_egg.jpg,MVZ:Egg:13023,Podiceps nigricollis californicus,United States,California,Bear Valley,#REF!,34.26083,-116.84778,3220
MVZ_Egg_7179.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7179_egg.jpg,MVZ:Egg:7179,Podiceps nigricollis californicus,United States,Utah,Utah Lake,#REF!,40.18764,-111.81198,19135
MVZ_Egg_2610.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2610_egg.jpg,MVZ:Egg:2610,Podiceps nigricollis californicus,Canada,Saskatchewan,Crescent Lake,#REF!,51.01667,-102.48333,4192
MVZ_Egg_7173.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7173_egg.jpg,MVZ:Egg:7173,Tachybaptus ruficollis philippensis,Philippines,Bulacan,Luzon,#REF!,15,121.0833333,35431
MVZ_Egg_7172.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7172_egg.jpg,MVZ:Egg:7172,Tachybaptus ruficollis ruficollis,United Kingdom,England,Westbury,#REF!,,,
MVZ_Egg_3165.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3165_egg.jpg,MVZ:Egg:3165,Aechmophorus,Canada,Saskatchewan,Crane Lake,#REF!,50.08333,-109.08333,7454
MVZ_Egg_2611.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2611_egg.jpg,MVZ:Egg:2611,Aechmophorus,United States,California,Honey Lake,#REF!,40.2387122,-120.3053518,26604
MVZ_Egg_2095.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2095_egg.jpg,MVZ:Egg:2095,Aechmophorus,United States,North Dakota,Sweetwater Lake,#REF!,48.2167,-98.8222,2440
MVZ_Egg_2094.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2094_egg.jpg,MVZ:Egg:2094,Aechmophorus,United States,North Dakota,Sweetwater Lake,#REF!,48.2167,-98.8222,2440
MVZ_Egg_7183.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7183_egg.jpg,MVZ:Egg:7183,Aechmophorus,United States,California,"Honey Lake, Antola",#REF!,40.351578,-120.2474997,409
MVZ_Egg_7184.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/7184_egg.jpg,MVZ:Egg:7184,Aechmophorus,United States,California,"Honey Lake, Antola",#REF!,40.351578,-120.2474997,409
MVZ_Egg_4342.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4342_egg.jpg,MVZ:Egg:4342,Aechmophorus,United States,California,Stone Lake,#REF!,38.342113,-121.497694,30
MVZ_Egg_4554.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4554_egg.jpg,MVZ:Egg:4554,Aechmophorus,United States,Utah,Chesapeake Lake,#REF!,41.48694,-112.17194,1609
MVZ_Egg_4341.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4341_egg.jpg,MVZ:Egg:4341,Aechmophorus,United States,Utah,Spring Lake,#REF!,40.00311,-111.74584,483
MVZ_Egg_2609.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/2609_egg.jpg,MVZ:Egg:2609,Podiceps auritus cornutus,United States,North Dakota,"SW Water Lake, N Devils Lake",#REF!,48.2127,-98.8475,830
MVZ_Egg_12997.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/12997_egg.jpg,MVZ:Egg:12997,Podiceps cristatus infuscatus,Kenya,Rift Valley Province,Lake Naivasha,#REF!,-0.766666667,36.35,17360
MVZ_Egg_4338.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/4338_egg.jpg,MVZ:Egg:4338,Podiceps nigricollis californicus,United States,California,Los Baños,#REF!,37.060514,-120.84778,805
MVZ_Egg_3558.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3558_egg.jpg,MVZ:Egg:3558,Podiceps nigricollis californicus,United States,California,Buena Vista Lake,#REF!,35.1881396,-119.286876,8542
MVZ_Egg_3557.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3557_egg.jpg,MVZ:Egg:3557,Podiceps nigricollis californicus,United States,California,Buena Vista Lake,#REF!,35.1881396,-119.286876,8542
MVZ_Egg_3559.jpg,https://web.corral.tacc.utexas.edu/MVZ/eggs/photos/jpg/3559_egg.jpg,MVZ:Egg:3559,Podiceps nigricollis californicus,United States,California,Buena Vista Lake,#REF!,35.1881396,-119.286876,8542
